id,name,created_at
1,"国際","2024-12-22 16:51:53"
2,"税金","2024-12-22 16:51:53"
3,"ビジネス","2024-12-22 16:51:53"
4,"少子高齢化","2024-12-22 16:51:53"
5,"医療福祉","2024-12-22 16:51:53"
6,"教育","2024-12-22 16:51:53"
7,"環境","2024-12-22 16:51:53"
8,"社会","2024-12-22 16:51:53"
9,"文化","2024-12-22 16:51:53"
10,"地域","2024-12-22 16:51:53"
11,"経済","2024-12-22 16:51:53"
12,"テクノロジー","2024-12-22 16:51:53"
13,"政治","2024-12-22 16:51:53"
14,"外交","2024-12-22 16:51:53"
